42	-80	1	40	36	-95	-9	10	81	44	75	-34	79	79	0	0	0	0	0	0	
60	-49	-1	-2	73	-42	9	-79	100	-3	59	57	-100	-62	0	0	0	0	0	0	
-63	-63	66	-27	-97	45	-17	80	49	-19	-18	23	75	3	0	0	0	0	0	0	
84	-82	-36	84	31	54	45	-72	0	35	58	26	-10	24	0	0	0	0	0	0	
71	54	92	93	79	89	81	99	94	61	98	67	97	57	1	0	0	0	0	0	
-65	72	85	64	-59	72	49	-87	-27	57	6	82	49	-66	0	1	0	0	0	0	
-81	17	96	26	84	93	-27	65	53	37	88	-67	47	46	0	0	1	0	0	0	
-100	10	-49	57	58	74	-54	20	-19	-27	-62	46	88	51	0	0	0	1	0	0	
15	-47	71	86	65	-16	-28	37	82	93	93	-66	79	-58	0	0	0	0	1	0	
-36	-96	45	34	62	-92	17	-23	96	89	36	-13	14	6	0	0	0	0	0	1	
