71	17	53	21	14	66	-57	90	86	39	71	-28	69	-87	0	0	0	0	0	0	
13	87	-69	-73	-60	-70	7	94	-27	-2	3	15	12	79	0	0	0	0	0	0	
-67	86	-9	-55	80	-99	-62	-38	-70	20	-9	88	79	93	0	0	0	0	0	0	
82	-4	25	-90	-56	-17	43	-33	2	58	100	-79	30	-38	0	0	0	0	0	0	
-45	-20	98	-100	73	-38	83	77	39	39	24	78	-82	5	-1	0	0	0	0	0	
53	-19	1	-25	-2	32	18	5	20	50	71	-27	-70	-82	0	1	0	0	0	0	
-23	-96	77	-31	-61	71	-18	-4	-25	85	-98	95	14	35	0	0	-1	0	0	0	
71	51	91	67	32	89	80	58	15	31	46	97	14	66	0	0	0	1	0	0	
88	19	91	74	43	57	59	48	59	28	89	85	25	83	0	0	0	0	1	0	
56	39	44	36	22	60	41	2	10	24	59	77	59	66	0	0	0	0	0	1	
