63	74	95	0	40	36	56	80	7	79	51	18	29	73	-1	0	0	0	0	0	0	0	0	0	
89	66	69	80	57	50	5	34	23	10	100	19	77	65	0	-1	0	0	0	0	0	0	0	0	
74	68	47	15	88	46	81	79	17	33	93	31	38	48	0	0	-1	0	0	0	0	0	0	0	
61	68	24	48	92	43	68	80	61	33	75	79	89	56	0	0	0	-1	0	0	0	0	0	0	
30	52	82	99	88	20	19	91	61	74	86	73	59	68	0	0	0	0	-1	0	0	0	0	0	
51	32	38	97	56	1	44	53	6	43	59	46	100	27	0	0	0	0	0	-1	0	0	0	0	
39	35	63	97	47	60	11	97	71	97	44	18	0	75	0	0	0	0	0	0	-1	0	0	0	
83	20	34	85	39	13	90	86	2	31	93	36	80	86	0	0	0	0	0	0	0	-1	0	0	
1	68	19	78	84	96	58	96	22	31	24	9	7	52	0	0	0	0	0	0	0	0	-1	0	
74	18	2	77	57	79	29	5	82	28	36	57	11	56	0	0	0	0	0	0	0	0	0	-1	
