20	10
37	24	-97	37	52	56	94	-4	5	18	60	19	99	-17	0	0	0	0	0	0	
-51	88	96	36	29	-94	99	-78	94	-90	-69	-56	54	3	0	0	0	0	0	0	
4	99	-30	-29	-86	86	50	-11	-84	40	-11	-43	-25	92	0	0	0	0	0	0	
58	-36	62	-89	-58	29	90	-27	50	-36	82	29	-41	82	0	0	0	0	0	0	
72	92	72	54	73	59	89	53	56	97	61	92	79	83	1	0	0	0	0	0	
22	20	96	69	-1	4	98	-73	4	90	-3	16	37	-82	0	-1	0	0	0	0	
0	-24	21	49	4	78	-58	77	53	48	-49	55	56	11	0	0	-1	0	0	0	
-89	-83	84	-39	21	81	-64	47	-29	-15	89	59	33	-18	0	0	0	1	0	0	
87	13	-27	34	-89	-56	6	42	-16	-11	28	79	62	70	0	0	0	0	1	0	
62	91	-40	26	99	-83	5	60	25	78	-39	-8	0	-16	0	0	0	0	0	1	

-90	30	48	89	-80	0	78	69	81	-8	-45	-80	81	-81	0	0	0	0	0	0	

383	61	52	195	1033	296	320	78	223	261	
